Deklaracja ścieżek;Kontrola deklaracji ścieżek (pliki *.pth i *.pti);exec('pth','%release');;;;;;;;;
Katalog;Plik;Nr linii;Linia;Linia;Typ;Element;Opis;Zapis poprawny;;;
WYSOKRZA;WYSOKRZA;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
WYSOPPLA;wysoppla;skid_pla;F;Nie odnaleziono pliku skid_pla.fml;N;;;;;;
WZDF_REF;wzdf_ref;wzdf;F;Nie odnaleziono pliku wzdf.fml;N;;;;;;
WZDP_BLP;wzdp_blp;wzdf;F;Nie odnaleziono pliku wzdf.fml;N;;;;;;
WZTYPBK;wztypbk;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
WZ_CPV;wz_cpv;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
WZ_DOK;wz_dok;rozlicz;F;Nie odnaleziono pliku rozlicz.fml;N;;;;;;
WZ_KOLOR_ET;wz_kolor_et;skid_obi;F;Nie odnaleziono pliku skid_obi.fml;N;;;;;;
WZ_STCPV;wz_stcpv;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
XXX_XXX_ACT4_DESC;desc;!xxx_xxx_act4;F;Nie odnaleziono pliku !xxx_xxx_act4.fml;N;;;;;;
XXX_XXX_ACT4_MAIN;main;!xxx_xxx_act4;F;Nie odnaleziono pliku !xxx_xxx_act4.fml;N;;;;;;
XXX_XXX_INIT;init;!xxx_xxx_act4;F;Nie odnaleziono pliku !xxx_xxx_act4.fml;N;;;;;;
ZAK_CECH;zak_cech;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ZALBDSFI;zalbdsfi;skid_zal;F;Nie odnaleziono pliku skid_zal.fml;N;;;;;;
ZALBDSME;zalbdsme;skid_zal;F;Nie odnaleziono pliku skid_zal.fml;N;;;;;;
ZALDSPST;zaldspst;skid_zal;F;Nie odnaleziono pliku skid_zal.fml;N;;;;;;
ZAP_OP;zap_op;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
ZAP_OP_D;zap_op_d;oper;F;Nie odnaleziono pliku oper.fml;N;;;;;;
ZASOB;jest_zas;tech_es;F;Nie odnaleziono pliku tech_es.fml;N;;;;;;
ZAZ_TEST;test;edit_kal;P;W pliku edit_kal.fml nie odnaleziono procedury \test.;N;;;;;;
ZBPRAKOR;zbprakor;zl_akor2;F;Nie odnaleziono pliku zl_akor2.fml;N;;;;;;
ZCWYBBR;zcwybbr;zlec_rh;P;W pliku zlec_rh.fml nie odnaleziono procedury \zcwybbr.;N;;;;;;
ZC_zakoncz_B;zc_zakoncz_b;!ppl_zlc_ruzc;P;W pliku !ppl_zlc_ruzc.fml nie odnaleziono procedury \zc_zakoncz_b.;N;;;;;;
ZDPILDPO;projzdp_ild_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPILDPR;projzdp_ild_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPILDPW;projzdp_ild_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPILOPO;projzdp_iloscpo;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPILOPR;projzdp_iloscpr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPOKRPO;projzdp_okr_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPOKRPR;projzdp_okr_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPOKRPW;projzdp_okr_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPPRZPO;projzdp_prz_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPPRZPR;projzdp_prz_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPPRZPW;projzdp_prz_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRILPO;projzdp_ril_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRILPR;projzdp_ril_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRILPW;projzdp_ril_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRODPO;projzdp_rod_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRODPR;projzdp_rod_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPRODPW;projzdp_rod_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZILPO;projzdp_zil_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZILPR;projzdp_zil_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZILPW;projzdp_zil_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZODPO;projzdp_zod_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZODPR;projzdp_zod_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDPZODPW;projzdp_zod_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_CHK;zdp_chk;zd;F;Nie odnaleziono pliku zd.fml;N;;;;;;
ZDP_ILPO;projzdp_il_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_ILPR;projzdp_il_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_ILPW;projzdp_il_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_M_PO;projzdp_m_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_M_PR;projzdp_m_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_R_PO;projzdp_r_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_R_PR;projzdp_r_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_Z_PO;projzdp_z_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZDP_Z_PR;projzdp_z_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZD_P_PTW;zd_p_ptw;zd;F;Nie odnaleziono pliku zd.fml;N;;;;;;
ZESTAW;be_w_pozz;skid_sik;F;Nie odnaleziono pliku skid_sik.fml;N;;;;;;
ZESTAWE;jest_el;elementy;F;Nie odnaleziono pliku elementy.fml;N;;;;;;
ZGI_ILE;zgi_ile;zl_guid;F;Nie odnaleziono pliku zl_guid.fml;N;;;;;;
ZGI_PILE;zgi_pile;zl_guid;F;Nie odnaleziono pliku zl_guid.fml;N;;;;;;
ZL9F3;zl9f3;zlec1;F;Nie odnaleziono pliku zlec1.fml;N;;;;;;
ZL9PORED;zl9pored;zlec1;F;Nie odnaleziono pliku zlec1.fml;N;;;;;;
ZL9PRED;zl_p_red;zlec1;F;Nie odnaleziono pliku zlec1.fml;N;;;;;;
ZL9PWYS;zl9pwys;zlec1;F;Nie odnaleziono pliku zlec1.fml;N;;;;;;
ZLA_F3;zl_f3;pr_util;F;Nie odnaleziono pliku pr_util.fml;N;;;;;;
ZLA_PORE;zl_pore;pr_util;F;Nie odnaleziono pliku pr_util.fml;N;;;;;;
ZLA_PRE;zl_pre;pr_util;F;Nie odnaleziono pliku pr_util.fml;N;;;;;;
ZLA_PWYS;zl_pwys;pr_util;F;Nie odnaleziono pliku pr_util.fml;N;;;;;;
ZLBR_CHK;zlbr_chk;zl_akord;F;Nie odnaleziono pliku zl_akord.fml;N;;;;;;
ZLPOR11K;zlpor11k;zlecenia;F;Nie odnaleziono pliku zlecenia.fml;N;;;;;;
ZLS_F3;projm_zls_f3;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZLS_PO;projm_zls_po;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZLS_PR;projm_zls_pr;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZLS_PW;projm_zls_pw;skid_prm;F;Nie odnaleziono pliku skid_prm.fml;N;;;;;;
ZL_F3(4);zlgd_f3;zlecenia;F;Nie odnaleziono pliku zlecenia.fml;N;;;;;;
ZL_PO_R3;zl_po_re2;zlecenia;F;Nie odnaleziono pliku zlecenia.fml;N;;;;;;
ZL_PO_R5;zl_po_re2;zlecenia;F;Nie odnaleziono pliku zlecenia.fml;N;;;;;;
ZMIANA_ROZL_VAT;zmiana_rozl_vat;!fks_ved_zv7p;P;W pliku !fks_ved_zv7p.fml nie odnaleziono procedury \zmiana_rozl_vat.;N;;;;;;
ZM_BE_1;zm_nriusu_bd;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
ZM_BE_2;zm_nrinew_bd;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
ZM_BE_3;zm_nazwausu_bd;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
ZM_BE_4;zm_nazwanew_bd;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
ZM_ROLA;zm_rola;obiegi_akc;P;W pliku obiegi_akc.fml nie odnaleziono procedury \zm_rola.;N;;;;;;
ZNAD_NI_AE;znad_ni_ae;!wyp_lwp_dpwy;P;W pliku !wyp_lwp_dpwy.fml nie odnaleziono procedury \znad_ni_ae.;N;;;;;;
ZNAD_NI_BE;znad_ni_be;!wyp_lwp_dpwy;P;W pliku !wyp_lwp_dpwy.fml nie odnaleziono procedury \znad_ni_be.;N;;;;;;
ZNAD_NI_F3;znad_ni_f3;!wyp_lwp_dpwy;P;W pliku !wyp_lwp_dpwy.fml nie odnaleziono procedury \znad_ni_f3.;N;;;;;;
ZOPER_BRYG_BE;sprawdz;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_COEF_AE;ae_coefz;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_GRPOJ_AE;po_grpoj;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_GRUPA_BD;bd_grupa;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_GRUPA_BE;be_twrkzbr;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_MTIME_AE;ae_mtimez;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_NKO_AE;ae_nkoz;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_NROP_BLAN;bopernro;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_NTIME_AE;ae_ntimez;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_OPIS_F3;zoper_opis_f3;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_PFAZ_AE;zoper_po_pfaz;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_PFAZ_BE;sprpfaz;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_PLACE_AE;ae_twrkplc;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_PLACE_BD;bd_twrkplc;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_PLACE_BE;be_twrkplc;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZOPER_PLNH_AE;ae_plnhz;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_PLNX_AE;ae_plnxz;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_PXKONT_AE;zoper_pxkont_ae;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_PXKONT_BD;zoper_pxkont_bd;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_PXKONT_BE;zoper_pxkont_be;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_PXKONT_BL;zoper_pxkont_bl;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_TTM_AE;ae_ttm;zl_zktl;F;Nie odnaleziono pliku zl_zktl.fml;N;;;;;;
ZOPER_TWRKPL_BD;bd_twrkplg;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_TWRKPL_BE;be_twrkzpo;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
ZOPER_UNROP_BL;bl_zoper_uin;zl_zoper;F;Nie odnaleziono pliku zl_zoper.fml;N;;;;;;
ZSBREM_RODZ_BE;zsbrem_rodz_be;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
ZSB_BADP_REF;zsb_badp_ref;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
ZSB_CZRD_RODZ;zsb_czrd_rodz;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
ZUMT_A1;zumt_a1;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A10;zumt_a10;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A11;zumt_a11;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A12;zumt_a12;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A2;zumt_a2;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A3;zumt_a3;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A4;zumt_a4;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A5;zumt_a5;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A6;zumt_a6;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A7;zumt_a7;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A8;zumt_a8;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_A9;zumt_a9;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z1;zumt_z1;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z10;zumt_z10;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z11;zumt_z11;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z12;zumt_z12;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z2;zumt_z2;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z3;zumt_z3;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z4;zumt_z4;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z5;zumt_z5;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z6;zumt_z6;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z7;zumt_z7;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z8;zumt_z8;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
ZUMT_Z9;zumt_z9;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
Z_OPIS;z_opis;tech_es;F;Nie odnaleziono pliku tech_es.fml;N;;;;;;
^     PB;poz_bud_f3;kali_ud;F;Nie odnaleziono pliku kali_ud.fml;N;;;;;;
^ WYD KZP;wyd_f3;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
_BE_FBOD;be_fbody;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_FHTM;be_fhtml;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_FNTC;be_fntc;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_FRCV;be_frcv;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_FSUB;be_fsub;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_FUN;be_funkcja;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_KOD;be_kod;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_OPIS;be_opis;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_PLIK;be_plik;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BE_RSEN;be_rsender;skid_eml;F;Nie odnaleziono pliku skid_eml.fml;N;;;;;;
_BL_GR;bl_przbrmgr;slownik1;F;Nie odnaleziono pliku slownik1.fml;N;;;;;;
__HARM34;przedDispQ_ZM;prc_view;P;W pliku prc_view.fml nie odnaleziono procedury \przedDispQ_ZM.;N;;;;;;
__KART02;KART02;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
__KART07;kt_f3;r_kart;P;W pliku r_kart.fml nie odnaleziono procedury \kt_f3.;N;;;;;;
__KART11;WYBWW_F3;r_kart;P;W pliku r_kart.fml nie odnaleziono procedury \WYBWW_F3.;N;;;;;;
__KART12;RWWSTpor;r_kart;P;W pliku r_kart.fml nie odnaleziono procedury \RWWSTpor.;N;;;;;;
ae_do_sek;ae_do_sek;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
ae_end_m;ae_end_m;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
ae_k_insmbn;ae_k_insmbn;skid_con;F;Nie odnaleziono pliku skid_con.fml;N;;;;;;
ae_kanc_kh;ae_rodz_kh;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ae_kier_sekret;ae_kier;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ae_krdauth_path;ae_krdauth_path;krd;F;Nie odnaleziono pliku krd.fml;N;;;;;;
ae_odr_m;ae_odr_m;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
ae_przetag_sta;ae_przetag_sta;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
ae_przetarg_m;ae_przetarg_m;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
ae_przetarg_o;ae_przetarg_o;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
ae_qkh;ae_qkh;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ae_rbt;ae_rbt;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
ae_reg_firma;ae_reg_firma;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ae_reg_odd;ae_reg_odd;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ae_reg_rok_f;ae_reg_rok_f;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ae_reg_typ;ae_reg_typ;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ae_regwyl_maska;ae_regwyl_maska;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ae_rodz_kh;ae_rodz_kh;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ae_rozne_typ_wys;ae_rozne_typ_wys;!fks_ksr_zamk;P;W pliku !fks_ksr_zamk.fml nie odnaleziono procedury \ae_rozne_typ_wys.;N;;;;;;
ae_sam_srsr;ae_sam_srsr;samochody;P;W pliku samochody.fml nie odnaleziono procedury \ae_sam_srsr.;N;;;;;;
ae_sek_stat;ae_stat;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
ae_sek_stato;ae_stato;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
ae_slu_zam;ae_slu_zam;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
ae_st_przekaz;ae_st_p;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
ae_stat_qkanc;ae_st_q;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ae_typ_kons;ae_typ;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
ae_user_sekres;ae_sekreu;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
ag_rej2firma;ag_rej2firma;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ag_wyk_akc;ag_wyk_akc;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ag_wyk_anuluj;ag_wyk_anuluj;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
agd_reg_wyk;agd_reg_wyk;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
ar_pb;ar_pb;!hbn_prz_zapr;P;W pliku !hbn_prz_zapr.fml nie odnaleziono procedury \ar_pb.;N;;;;;;
ar_proj_dok_dd;ar_proj_dok_dd;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
bd_reg_wyk;bd_reg_wyk;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
bd_status_sekr;bd_stat;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_cpv_sch;be_cpv_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_dn_sek;be_dn;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_do_sek;be_do;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_end_m;be_end_m;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
be_grps_zm;be_grps_zm;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_jorg_sch;be_jorg_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_kh_sek;be_kh_sek;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_kier_sekret;be_kier;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_m_sch;be_m_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_odr_m;be_odr_m;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
be_oxpertis;be_oxpertis;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
be_pbud_sch;be_pbud_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_proj_dok_typ;be_proj_dok_typ;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
be_proj_sch;be_proj_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_prz_moje;be_prz_m;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
be_przetarg_o;be_przetarg_o;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_przetarg_p;be_przetarg_p;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_przetarg_sta;be_przetarg_sta;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_przetpoz_cze;be_przetpoz_cze;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_przetpoz_zap;be_przetpoz_zap;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_qkh_sek;be_qkh_sek;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_reg_f_wart;be_reg_f_wart;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_reg_firma;be_reg_firma;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_reg_odd;be_reg_odd;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_reg_rok_f;be_reg_rok_f;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_reg_wsk;be_reg_wsk;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_regwyl_maska;be_regwyl_maska;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
be_sam_srsr;be_sam_srsr;samochody;P;W pliku samochody.fml nie odnaleziono procedury \be_sam_srsr.;N;;;;;;
be_sek_dok;be_dok;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_sek_stat;be_stat;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_sek_stato;be_stato;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_sekred_typ;be_typ;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_sekreu_zm;be_sekreu_zm;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
be_slo_tryb;be_slo_tryb;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_slu_zam;be_slu_zam;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_st_przekaz;be_st_p;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
be_stat_qkanc;be_st_q;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_tajne_kons;be_tajne;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
be_udt_sch;be_udt_sch;zam_pub;F;Nie odnaleziono pliku zam_pub.fml;N;;;;;;
be_user_sekres;be_sekreu;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
be_xbrl_gr_nag;be_xbrl_gr_nag;xbrl;F;Nie odnaleziono pliku xbrl.fml;N;;;;;;
be_xbrl_lan_slo;be_xbrl_lan_slo;xbrl;F;Nie odnaleziono pliku xbrl.fml;N;;;;;;
bg_rej2firma;bg_rej2firma;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
bg_wyk_akc;bg_wyk_akc;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
bg_wyk_anuluj;bg_wyk_anuluj;skid_kns;F;Nie odnaleziono pliku skid_kns.fml;N;;;;;;
bl_am_sekret;bl_am;sekret2;F;Nie odnaleziono pliku sekret2.fml;N;;;;;;
bl_date_kons;bl_date;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
bl_dn_sek;bl_dn;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
bl_dni;bl_dni;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
bl_do_sek;bl_do;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
bl_k_harm_u;bl_k_harm_u;skid_con;F;Nie odnaleziono pliku skid_con.fml;N;;;;;;
bl_lpelz;bl_lpelz;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
bl_odp_kons;bl_odp_k;sekret3;F;Nie odnaleziono pliku sekret3.fml;N;;;;;;
bl_proj_dok;bl_proj_dok;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
bl_proj_dok_dd;bl_proj_dok_dd;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
